,lon,lat,common_name,tree_type,entry_source
0,-69.640555,44.560474,,,Citizen Survey 2021
1,-69.652439,44.552399,Crabapple,Fruiting / Flowering,Citizen Survey 2021
2,-69.641394,44.540578,,,Citizen Survey 2021
3,-69.644153,44.549889,,,Citizen Survey 2021
4,-69.630605,44.553242,Oak,Ornamental,Citizen Survey 2021
5,-69.630605,44.553242,Maple,Ornamental,Citizen Survey 2021
6,-69.630605,44.553242,Ash,Ornamental,Citizen Survey 2021
7,-69.630605,44.553242,Birch,Ornamental,Citizen Survey 2021
8,-69.628226,44.556896,,,Citizen Survey 2021
9,-69.656161,44.551369,Oak,Ornamental,Citizen Survey 2021
10,-69.656161,44.551369,Maple,Ornamental,Citizen Survey 2021
11,-69.656161,44.551369,Birch,Ornamental,Citizen Survey 2021
12,-69.644794,44.544097,Oak,Ornamental,Citizen Survey 2021
13,-69.644794,44.544097,Maple,Ornamental,Citizen Survey 2021
14,-69.670326,44.548163,Oak,Ornamental,Citizen Survey 2021
15,-69.670326,44.548163,Birch,Ornamental,Citizen Survey 2021
16,-69.670326,44.548163,Serviceberry,Ornamental,Citizen Survey 2021
17,-69.663665,44.543651,Apple,Fruiting / Flowering,Citizen Survey 2021
18,-69.663665,44.543651,Crabapple,Fruiting / Flowering,Citizen Survey 2021
19,-69.669199,44.548741,Oak,Ornamental,Citizen Survey 2021
20,-69.669199,44.548741,Maple,Ornamental,Citizen Survey 2021
21,-69.669199,44.548741,Birch,Ornamental,Citizen Survey 2021
22,-69.669199,44.548741,Crabapple,Fruiting / Flowering,Citizen Survey 2021
23,-69.660484,44.545065,Oak,Ornamental,Citizen Survey 2021
24,-69.660484,44.545065,Birch,Ornamental,Citizen Survey 2021
25,-69.670521,44.548684,,,Citizen Survey 2021
26,-69.641126,44.57523,Oak,Ornamental,Citizen Survey 2021
27,-69.641126,44.57523,Birch,Ornamental,Citizen Survey 2021
28,-69.661749,44.544553,Pear,Fruiting / Flowering,Citizen Survey 2021
29,-69.661749,44.544553,Hawthorn,Fruiting / Flowering,Citizen Survey 2021
30,-69.670521,44.548684,,,Citizen Survey 2021
31,-69.662876,44.545136,Birch,Ornamental,Citizen Survey 2021
32,-69.662876,44.545136,Apple,Fruiting / Flowering,Citizen Survey 2021
33,-69.662876,44.545136,Crabapple,Fruiting / Flowering,Citizen Survey 2021
34,-69.661131,44.543841,,,Citizen Survey 2021
35,-69.660988,44.544544,Ash,Ornamental,Citizen Survey 2021
36,-69.659686,44.546348,Oak,Ornamental,Citizen Survey 2021
37,-69.659686,44.546348,Maple,Ornamental,Citizen Survey 2021
38,-69.659686,44.546348,Birch,Ornamental,Citizen Survey 2021
39,-69.648421,44.56697,,,Citizen Survey 2021
40,-69.658142,44.546195,,,Citizen Survey 2021
41,-69.655729,44.549882,Oak,Ornamental,Citizen Survey 2021
42,-69.655365,44.548844,Oak,Ornamental,Citizen Survey 2021
43,-69.655365,44.548844,Birch,Ornamental,Citizen Survey 2021
44,-69.655365,44.548844,Apple,Fruiting / Flowering,Citizen Survey 2021
45,-69.655365,44.548844,Crabapple,Fruiting / Flowering,Citizen Survey 2021
46,-69.660032,44.547426,Oak,Ornamental,Citizen Survey 2021
47,-69.660032,44.547426,Maple,Ornamental,Citizen Survey 2021
48,-69.660032,44.547426,Ash,Ornamental,Citizen Survey 2021
49,-69.660802,44.54486,Oak,Ornamental,Citizen Survey 2021
50,-69.660802,44.54486,Birch,Ornamental,Citizen Survey 2021
51,-69.658456,44.546679,Cherry,Fruiting / Flowering,Citizen Survey 2021
52,-69.658456,44.546679,Hawthorn,Fruiting / Flowering,Citizen Survey 2021
53,-69.662991,44.543569,Apple,Fruiting / Flowering,Citizen Survey 2021
54,-69.662991,44.543569,Crabapple,Fruiting / Flowering,Citizen Survey 2021
55,-69.658765,44.547812,,,Citizen Survey 2021
56,-69.657145,44.549833,Crabapple,Fruiting / Flowering,Citizen Survey 2021
57,-69.661074,44.538287,Maple,Ornamental,Citizen Survey 2021
58,-69.661074,44.538287,Birch,Ornamental,Citizen Survey 2021
59,-69.661214,44.537522,Oak,Ornamental,Citizen Survey 2021
60,-69.661214,44.537522,Maple,Ornamental,Citizen Survey 2021
61,-69.661799,44.537256,,,Citizen Survey 2021
62,-69.661322,44.538465,,,Citizen Survey 2021
63,-69.661564,44.537685,Oak,Ornamental,Citizen Survey 2021
64,-69.661564,44.537685,Maple,Ornamental,Citizen Survey 2021
65,-69.663935,44.537501,Crabapple,Fruiting / Flowering,Citizen Survey 2021
66,-69.647373,44.57294,,,Citizen Survey 2021
67,-69.638146,44.549743,,,Citizen Survey 2021
68,-69.654421,44.555066,,,Citizen Survey 2021
69,-69.660287,44.547128,Oak,Ornamental,Citizen Survey 2021
70,-69.660287,44.547128,Birch,Ornamental,Citizen Survey 2021
71,-69.65705,44.539751,Maple,Ornamental,Citizen Survey 2021
72,-69.65705,44.539751,Pear,Fruiting / Flowering,Citizen Survey 2021
73,-69.641926,44.552913,Maple,Ornamental,Citizen Survey 2021
74,-69.641926,44.552913,Crabapple,Fruiting / Flowering,Citizen Survey 2021
75,-69.654996,44.549692,Oak,Ornamental,Citizen Survey 2021
76,-69.654996,44.549692,Maple,Ornamental,Citizen Survey 2021
77,-69.636663,44.539029,,,Citizen Survey 2021
78,-69.652681,44.551506,Birch,Ornamental,Citizen Survey 2021
79,-69.638212,44.55929,Crabapple,Fruiting / Flowering,Citizen Survey 2021
80,-69.661101,44.543418,Oak,Ornamental,Citizen Survey 2021
81,-69.639582,44.555051,,,Citizen Survey 2021
82,-69.641519,44.573693,,,Citizen Survey 2021
83,-69.66126,44.545853,Birch,Ornamental,Citizen Survey 2021
84,-69.66126,44.545853,Crabapple,Fruiting / Flowering,Citizen Survey 2021
85,-69.659267,44.539342,Cherry,Fruiting / Flowering,Citizen Survey 2021
86,-69.6402,44.555124,Oak,Ornamental,Citizen Survey 2021
87,-69.6402,44.555124,Crabapple,Fruiting / Flowering,Citizen Survey 2021
88,-69.637085,44.576554,,,Citizen Survey 2021
89,-69.647681,44.558138,Maple,Ornamental,Citizen Survey 2021
90,-69.647681,44.558138,Crabapple,Fruiting / Flowering,Citizen Survey 2021
91,-69.647021,44.555909,,,Citizen Survey 2021
92,-69.656476,44.549738,Crabapple,Fruiting / Flowering,Citizen Survey 2021
93,-69.645603,44.557555,,,Citizen Survey 2021
94,-69.641329,44.555338,Oak,Ornamental,Citizen Survey 2021
95,-69.641329,44.555338,Pear,Fruiting / Flowering,Citizen Survey 2021
96,-69.646415,44.549539,,,Citizen Survey 2021
97,-69.646404,44.549687,,,Citizen Survey 2021
98,-69.656639,44.550227,Oak,Ornamental,Citizen Survey 2021
99,-69.656639,44.550227,Maple,Ornamental,Citizen Survey 2021
100,-69.656639,44.550227,Birch,Ornamental,Citizen Survey 2021
101,-69.637755,44.541066,,,Citizen Survey 2021
102,-69.650073,44.555266,Apple,Fruiting / Flowering,Citizen Survey 2021
103,-69.650073,44.555266,Crabapple,Fruiting / Flowering,Citizen Survey 2021
104,-69.640596,44.555626,Oak,Ornamental,Citizen Survey 2021
105,-69.640596,44.555626,Crabapple,Fruiting / Flowering,Citizen Survey 2021
106,-69.65439,44.551145,Oak,Ornamental,Citizen Survey 2021
107,-69.637661,44.538807,Oak,Ornamental,Citizen Survey 2021
108,-69.653292,44.554906,Crabapple,Fruiting / Flowering,Citizen Survey 2021
109,-69.659029,44.54054,Pear,Fruiting / Flowering,Citizen Survey 2021
110,-69.659029,44.54054,Cherry,Fruiting / Flowering,Citizen Survey 2021
111,-69.647864,44.546789,Oak,Ornamental,Citizen Survey 2021
112,-69.637144,44.547943,,,Citizen Survey 2021
113,-69.660389,44.547838,Maple,Ornamental,Citizen Survey 2021
114,-69.647114,44.544493,,,Citizen Survey 2021
115,-69.655198,44.542984,,,Citizen Survey 2021
116,-69.661916,44.545358,,,Citizen Survey 2021
117,-69.63307,44.576293,Apple,Fruiting / Flowering,Citizen Survey 2021
118,-69.63307,44.576293,Pear,Fruiting / Flowering,Citizen Survey 2021
119,-69.63307,44.576293,Cherry,Fruiting / Flowering,Citizen Survey 2021
120,-69.651354,44.552747,,,Citizen Survey 2021
121,-69.6482,44.549335,Maple,Ornamental,Citizen Survey 2021
122,-69.636044,44.576402,Maple,Ornamental,Citizen Survey 2021
123,-69.658715,44.546169,Oak,Ornamental,Citizen Survey 2021
124,-69.658715,44.546169,Maple,Ornamental,Citizen Survey 2021
125,-69.658715,44.546169,Apple,Fruiting / Flowering,Citizen Survey 2021
126,-69.668401,44.54925,Oak,Ornamental,Citizen Survey 2021
127,-69.668401,44.54925,Pear,Fruiting / Flowering,Citizen Survey 2021
128,-69.65095,44.541883,,,Citizen Survey 2021
129,-69.647034,44.549161,,,Citizen Survey 2021
130,-69.647286,44.549187,,,Citizen Survey 2021
131,-69.676661,44.516855,,,Citizen Survey 2021
132,-69.642028,44.557585,Apple,Fruiting / Flowering,Citizen Survey 2021
133,-69.642028,44.557585,Pear,Fruiting / Flowering,Citizen Survey 2021
134,-69.651192,44.553423,,,Citizen Survey 2021
135,-69.647596,44.555001,,,Citizen Survey 2021
136,-69.656045,44.551676,Oak,Ornamental,Citizen Survey 2021
137,-69.656045,44.551676,Maple,Ornamental,Citizen Survey 2021
138,-69.656045,44.551676,Crabapple,Fruiting / Flowering,Citizen Survey 2021
139,-69.636208,44.577558,Oak,Ornamental,Citizen Survey 2021
140,-69.636208,44.577558,Apple,Fruiting / Flowering,Citizen Survey 2021
141,-69.636208,44.577558,Crabapple,Fruiting / Flowering,Citizen Survey 2021
142,-69.636208,44.577558,Pear,Fruiting / Flowering,Citizen Survey 2021
143,-69.657362,44.549571,Oak,Ornamental,Citizen Survey 2021
144,-69.657362,44.549571,Birch,Ornamental,Citizen Survey 2021
145,-69.637432,44.574319,Oak,Ornamental,Citizen Survey 2021
146,-69.637432,44.574319,Maple,Ornamental,Citizen Survey 2021
147,-69.637432,44.574319,Apple,Fruiting / Flowering,Citizen Survey 2021
148,-69.637432,44.574319,Crabapple,Fruiting / Flowering,Citizen Survey 2021
149,-69.643683,44.553565,,,Citizen Survey 2021
150,-69.655078,44.550817,Oak,Ornamental,Citizen Survey 2021
151,-69.634238,44.57535,,,Citizen Survey 2021
152,-69.645013,44.553737,,,Citizen Survey 2021
153,-69.642965,44.53925,Oak,Ornamental,Citizen Survey 2021
154,-69.642965,44.53925,Apple,Fruiting / Flowering,Citizen Survey 2021
155,-69.643043,44.543976,,,Citizen Survey 2021
156,-69.635133,44.561562,,,Citizen Survey 2021
157,-69.661397,44.545136,Birch,Ornamental,Citizen Survey 2021
158,-69.637366,44.552133,,,Citizen Survey 2021
159,-69.689079,44.537922,Crabapple,Fruiting / Flowering,Citizen Survey 2021
160,-69.626889,44.5707,,,Citizen Survey 2021
161,-69.640901,44.542723,,,Citizen Survey 2021
162,-69.654962,44.543233,,,Citizen Survey 2021
163,-69.639648,44.551256,,,Citizen Survey 2021
164,-69.637837,44.552562,Crabapple,Fruiting / Flowering,Citizen Survey 2021
165,-69.658721,44.540011,,,Citizen Survey 2021
166,-69.657098,44.546286,,,Citizen Survey 2021
167,-69.638273,44.540622,,,Citizen Survey 2021
168,-69.649545,44.545123,,,Citizen Survey 2021
169,-69.640406,44.557256,Oak,Ornamental,Citizen Survey 2021
170,-69.673414,44.547992,Maple,Ornamental,Citizen Survey 2021
171,-69.673414,44.547992,Birch,Ornamental,Citizen Survey 2021
172,-69.639093,44.552938,,,Citizen Survey 2021
173,-69.669347,44.549533,Ash,Ornamental,Citizen Survey 2021
174,-69.680826,44.506117,Apple,Fruiting / Flowering,Citizen Survey 2021
175,-69.65652,44.54687,,,Citizen Survey 2021
176,-69.648662,44.548351,Oak,Ornamental,Citizen Survey 2021
177,-69.648662,44.548351,Maple,Ornamental,Citizen Survey 2021
178,-69.648662,44.548351,Birch,Ornamental,Citizen Survey 2021
179,-69.648662,44.548351,Apple,Fruiting / Flowering,Citizen Survey 2021
180,-69.648662,44.548351,Pear,Fruiting / Flowering,Citizen Survey 2021
181,-69.654746,44.548681,Oak,Ornamental,Citizen Survey 2021
182,-69.645876,44.550248,,,Citizen Survey 2021
183,-69.641345,44.561941,,,Citizen Survey 2021
184,-69.64218,44.56281,,,Citizen Survey 2021
185,-69.638232,44.578402,Oak,Ornamental,Citizen Survey 2021
186,-69.638232,44.578402,Apple,Fruiting / Flowering,Citizen Survey 2021
187,-69.638232,44.578402,Crabapple,Fruiting / Flowering,Citizen Survey 2021
188,-69.638232,44.578402,Pear,Fruiting / Flowering,Citizen Survey 2021
189,-69.638232,44.578402,Cherry,Fruiting / Flowering,Citizen Survey 2021
190,-69.638232,44.578402,Serviceberry,Ornamental,Citizen Survey 2021
191,-69.655002,44.545128,Ash,Ornamental,Citizen Survey 2021
192,-69.655002,44.545128,Cherry,Fruiting / Flowering,Citizen Survey 2021
193,-69.649959,44.546692,,,Citizen Survey 2021
194,-69.638543,44.5803,,,Citizen Survey 2021
195,-69.646256,44.549954,,,Citizen Survey 2021
196,-69.657846,44.545593,Oak,Ornamental,Citizen Survey 2021
197,-69.65589,44.545744,,,Citizen Survey 2021
198,-69.658909,44.547235,,,Citizen Survey 2021
199,-69.656928,44.546274,Oak,Ornamental,Citizen Survey 2021
200,-69.661223,44.537524,Oak,Ornamental,Citizen Survey 2021
201,-69.661223,44.537524,Crabapple,Fruiting / Flowering,Citizen Survey 2021
202,-69.647874,44.538664,,,Citizen Survey 2021
203,-69.656636,44.532596,Oak,Ornamental,Citizen Survey 2021
204,-69.656636,44.532596,Maple,Ornamental,Citizen Survey 2021
205,-69.638006,44.560578,,,Citizen Survey 2021
206,-69.645117,44.553404,,,Citizen Survey 2021
207,-69.654103,44.555869,,,Citizen Survey 2021
208,-69.63323,44.562549,,,Citizen Survey 2021
209,-69.675013,44.548491,Apple,Fruiting / Flowering,Citizen Survey 2021
210,-69.675013,44.548491,Pear,Fruiting / Flowering,Citizen Survey 2021
211,-69.653161,44.553299,,,Citizen Survey 2021
212,-69.639236,44.561895,,,Citizen Survey 2021
213,-69.672021,44.552132,Oak,Ornamental,Citizen Survey 2021
214,-69.672021,44.552132,Cherry,Fruiting / Flowering,Citizen Survey 2021
215,-69.637363,44.560474,,,Citizen Survey 2021
216,-69.655654,44.540947,,,Citizen Survey 2021
217,-69.631943,44.559991,,,Citizen Survey 2021
218,-69.655624,44.555693,Apple,Fruiting / Flowering,Citizen Survey 2021
219,-69.647618,44.556441,,,Citizen Survey 2021
220,-69.656036,44.545311,,,Citizen Survey 2021
221,-69.640557,44.561829,,,Citizen Survey 2021
222,-69.656372,44.544976,Apple,Fruiting / Flowering,Citizen Survey 2021
223,-69.671433,44.521261,,,Citizen Survey 2021
224,-69.644969,44.562835,,,Citizen Survey 2021
225,-69.641631,44.555881,Oak,Ornamental,Citizen Survey 2021
226,-69.641631,44.555881,Apple,Fruiting / Flowering,Citizen Survey 2021
227,-69.642145,44.539655,,,Citizen Survey 2021
228,-69.646082,44.549005,Oak,Ornamental,Citizen Survey 2021
229,-69.635969,44.561413,,,Citizen Survey 2021
230,-69.645345,44.540483,,,Citizen Survey 2021
231,-69.654741,44.554438,,,Citizen Survey 2021
232,-69.639772,44.555104,,,Citizen Survey 2021
233,-69.634679,44.560921,,,Citizen Survey 2021
234,-69.673268,44.52102,,,Citizen Survey 2021
235,-69.649965,44.544391,Apple,Fruiting / Flowering,Citizen Survey 2021
